id,age,political_orientation,political_interest,np_subscription,news consumption,experiment_group,trust_t1,trust_t2,trust_t1_item1,trust_t1_item2,trust_t1_item3,trust_t1_item4,trust_t1_item5,trust_t2_item1,trust_t2_item2,trust_t2_item3,trust_t2_item4,trust_t2_item5
1,21,right,5.236027216955892,no,9,control,2.5,2,2,1,9,3,3,2,2,9,2,2
2,42,center,2.2758358513967263,yes,16,control,4,4,3,3,6,4,4,4,1,7,4,4
3,18,right,5.868965876346021,no,9,negative,3,1,3,1,9,3,4,1,1,10,1,1
4,42,center,4.133717311440186,no,12,negative,3.75,1.75,4,1,7,3,4,2,1,9,1,2
5,32,left,4.36863502644451,no,10,control,6,6.25,6,3,5,5,7,6,7,4,5,7
6,33,left,4.883479180611869,yes,19,control,5.5,7,5,3,6,5,7,7,2,5,7,8
7,21,left,2.4955834945914535,no,12,negative,4,3.75,4,2,7,3,5,4,3,7,3,4
8,46,left,3.279564255341776,yes,15,control,5.5,5.25,5,1,4,4,6,5,1,6,5,6
9,50,left,4.8229950468242,yes,16,positive,6.75,6.75,6,4,3,6,7,7,4,4,6,7
10,63,right,3.285481326218632,yes,18,control,4.75,3.75,5,5,7,4,6,4,2,7,3,4
11,18,right,4.319641949912966,no,11,positive,3.5,5,4,3,8,3,4,5,4,5,4,5
12,52,right,3.3840534926474137,yes,17,negative,4.25,3.25,4,4,7,4,5,3,1,7,2,4
13,26,right,3.517244252750239,no,11,negative,3.25,2.5,3,4,7,2,4,2,2,8,2,3
14,40,right,3.577375210830546,no,12,positive,3.5,4.5,4,2,8,4,3,4,6,6,4,5
15,56,center,3.4933026023308127,yes,17,negative,5,4.25,4,4,6,6,5,4,1,7,4,5
16,37,center,4.7081037261697,no,13,negative,2.75,2.5,2,2,7,2,3,3,1,9,2,3
17,32,left,3.8307127750075756,yes,14,control,5.25,6.75,5,1,6,5,6,7,6,5,6,8
18,64,left,4.133641839123426,yes,20,control,5,3.75,5,3,6,4,6,3,3,7,3,5
19,48,left,4.0596656170789585,no,7,positive,4.5,6.25,4,3,6,4,5,6,7,5,6,7
20,62,left,4.739061946432027,yes,19,positive,5,5.25,6,7,6,4,5,5,4,6,4,7
21,61,left,2.9893945590036175,yes,19,control,6.5,6.25,6,3,3,5,7,5,2,4,6,7
22,63,right,5.0349886401647925,yes,17,control,3.75,4.25,4,3,7,3,4,4,2,6,3,5
23,56,center,4.063532752320903,yes,16,positive,4.25,2.75,4,2,7,4,5,3,1,8,2,3
24,37,left,4.9277987075738885,no,13,control,3.25,3.5,3,1,8,3,4,3,4,7,3,4
25,60,center,4.047698248459272,no,15,negative,5.5,4.25,5,3,5,5,6,5,3,7,3,5
26,48,right,3.3575063881044445,yes,16,positive,1.5,3.5,1,3,10,2,2,4,2,7,3,3
27,55,left,4.628317838329055,yes,18,negative,5.25,5.25,5,3,5,4,6,5,6,6,5,6
28,51,left,3.7094040008683997,no,7,negative,5,5,5,1,5,4,5,5,1,6,5,5
29,42,left,4.011337372650524,yes,17,control,4.25,3.5,5,4,7,4,4,4,1,8,3,4
30,29,center,1.9512425856345466,no,12,positive,3.5,4.5,3,3,8,3,5,4,1,6,4,5
31,41,center,3.2738639244892536,no,9,positive,4.25,4.75,4,3,7,5,4,5,7,6,4,5
32,58,center,2.4530585053512546,yes,18,positive,5.25,6.5,5,4,6,5,6,6,3,4,5,8
33,55,left,3.4422495731852347,yes,16,positive,6,5.75,6,4,5,5,7,6,6,5,5,6
34,58,right,4.894556242892245,yes,17,control,4.75,6.25,5,3,6,4,5,7,4,5,5,7
35,60,center,4.868520296580467,no,17,positive,5.5,5.25,5,4,6,6,6,6,3,6,4,6
36,55,right,3.077333777085378,yes,19,negative,4.5,5,5,1,6,3,5,5,1,6,5,5
37,37,left,2.7285576414795805,yes,17,negative,5,5.75,5,5,5,4,5,6,2,5,5,6
38,53,left,4.551511146270993,yes,15,control,5.25,5,5,3,5,4,6,4,3,5,5,5
39,37,right,3.8539685259135315,yes,16,positive,3.5,3,3,2,8,4,4,2,3,8,3,4
40,23,right,4.699856632621527,yes,15,negative,1.25,2,1,3,10,1,2,2,1,9,2,2
41,30,center,2.666391867453579,no,9,negative,2.5,2.5,3,1,9,2,3,2,1,8,2,3
42,40,right,3.9031254497178796,no,6,control,2.25,3,3,1,9,2,2,3,4,7,2,3
43,34,right,3.7062952763151475,yes,19,negative,4.5,4,4,4,6,4,5,4,3,7,3,5
44,36,center,3.428351629719563,no,16,positive,2.75,3.75,2,3,8,3,3,4,3,7,3,4
45,55,center,3.6631251643794736,yes,18,control,4.75,6.5,5,3,6,3,6,6,3,3,5,7
46,23,center,1.8615483219483027,no,10,negative,4.25,3,4,1,6,3,5,4,1,8,2,3
47,58,right,2.7888662600060807,yes,19,negative,3.75,3,4,3,6,2,4,3,3,8,3,3
48,26,right,3.5311822062473666,yes,18,control,4,5,4,1,7,3,5,5,2,7,5,6
49,31,right,1.8455279292512008,yes,18,control,3.75,3.5,4,2,8,4,4,3,1,7,4,3
50,31,left,3.848265621803566,no,14,negative,4,2,4,3,7,3,5,2,2,9,2,2
51,51,left,3.4863357418386416,no,15,positive,6,8,6,4,5,5,7,9,1,4,7,9
52,21,center,3.397804593002792,no,12,positive,4.25,6,4,3,6,3,5,6,5,6,6,7
53,42,right,3.445480955068974,yes,15,negative,3.75,1,4,3,7,3,4,1,1,10,1,1
54,59,center,2.7122222711184474,yes,19,control,5.5,6,5,4,5,5,6,6,4,4,5,6
55,45,center,4.273497702334243,no,11,positive,5.25,7,5,4,5,4,6,7,5,4,6,8
56,32,right,3.8017427027942006,no,7,control,3.25,4,3,1,8,3,4,4,5,7,3,5
57,19,center,2.693926777451469,no,7,negative,3.25,3.75,3,3,7,3,3,4,2,7,3,4
58,37,left,2.041607634185934,yes,16,negative,3.5,4.5,4,4,8,3,4,4,3,6,4,5
59,35,left,1.4517206226671184,yes,13,positive,3.25,2.5,4,1,8,3,3,2,1,8,3,2
60,61,right,3.6041890256472833,no,11,negative,5.5,3.75,5,3,5,5,6,4,2,7,3,4
61,38,center,3.0520119833286743,yes,17,control,4.75,5.25,5,1,7,5,5,4,2,5,5,6
62,37,right,3.9634281128623132,yes,14,positive,4,2.75,4,1,7,3,5,2,3,8,3,3
63,40,left,3.4183879746583727,no,10,control,4.75,4.5,5,5,6,4,5,4,4,6,4,5
64,51,left,3.269721135790528,yes,16,negative,4.75,4.5,5,4,7,5,5,4,5,7,4,6
65,48,right,5.306839185331282,no,8,control,4.75,6.5,5,4,7,4,6,6,6,4,6,7
66,34,left,4.051418227717319,yes,15,positive,4,3.75,4,4,7,3,5,4,3,7,3,4
